Personal name (Tamil),Personal name (English),Personal name_other (Tamil),Personal name_other (Tamil),Contributor (Tamil),Contributor (English),Contributor role (Tamil),Contributor role (English),Title (Tamil),title_tamil_oclc,title_translitrated_oclc,Title (English),publisher_transliterate_oclc,publisher_tamil_oclc,Publisher (Tamil),Publisher (English),Place of publication (Tamil),Place of publication (English),Date,Edition (Tamil),Edition (English),Type of resource (English),Type of resource (Tamil),Physical description,Language (Tamil),Language (English)
100 $a | Main Entry-Personal Name,100 $a | Main Entry-Personal Name,400 | Tracing Personal Name,500 | General Note,700 $a | Added Entry-Personal Name ,,700 $e | Added Entry - Personal Name - Relator Term,,245 $a | Title Statement ,,,,,,260 $b,,260 $a,,260 $c,250 $a,,,,300 $a,41,
"அகத்தியலிங்கம், சு. பொ. ",,---,---,"பரந்தாமன், என். ",,தொகுப்பாசிரியர்,editor,அஃக் : தேசிய விருது பெற்ற கலை இலக்கிய சிற்றிதழ் தொகுப்பு,,,,,,சந்தியா பதிப்பகம்,,சென்னை,Chennai,2006,முதற் பதிப்பு,First edition ,Book ,நூல் ,736 pages : illustrations ; 22 cm,தமிழ்,tam
"அகத்தியலிங்கம், சு. பொ. ",,---,சு. பொன்னப்பபிள்ளை,---,,---,---,விடுதலைத் தழும்புகள் : இந்திய சுதந்திர வரலாறு,,,,,,தமிழ்ப் புத்தகாலயம்,,சென்னை,Chennai,1998,முதற் பதிப்பு,First edition ,Book ,நூல் ,[652] pages,தமிழ்,tam
அகளங்கன் ,,என். தர்மராஜா,---,---,,---,---,கவிஞர் ஜின்னாஹ்வின் இரட்டைக் காப்பியங்கள் : ஓர் ஆய்வு,,,,,,அன்னை வெளியீட்டகம்  ,,தெகிவளை,Dehiwala,1999,முதற் பதிப்பு,First edition ,Book ,நூல் ,"xvi, 104 pages ; 18 cm",தமிழ்,tam
"அகஸ்தியர், எஸ்.",,---,---,---,,---,---,லெனின் பாதச் சுவடுகளில்...,,,,,,புதுச்சேரி கூட்டுறவுப் புத்தகச் சங்கம் ,,புதுச்சேரி,Puducherry,2007,முதற் பதிப்பு,First edition ,Book ,நூல் ,,தமிழ்,tam
"அகிலன், பாக்கியநாதன்",,---,---,---,,---,---,சரமகவிகள்,,,,,,பேறு வெளியீடு,,யாழ்ப்பாணம்,Jaffna,2011,முதற் பதிப்பு,First edition ,Book ,நூல் ,,தமிழ்,tam
"அகிலன், பாக்கியநாதன்",,---,---,---,,---,---,காலத்தின் விளிம்பு : யாழ்ப்பாணத்தின் மரபுரிமைகளும் அவற்றைப் பாதுகாத்தலும் ,,,,,,பேறு வெளியீடு,,யாழ்ப்பாணம்,Jaffna,2015,முதற் பதிப்பு,First edition ,Book ,நூல் ,,தமிழ்,tam
அசோகமித்திரன் ,Acōkamittiran̲,ஜ. தியாகராஜன்,---,---,,---,---,தண்ணீர்,,,,,,கிறிஸ்தவ இலக்கியச் சங்கம்,,மதுரை,Madurai,1973,முதற் பதிப்பு,First edition ,Book ,நூல் ,,தமிழ்,tam
அசோகமித்திரன் ,Acōkamittiran̲,ஜ. தியாகராஜன்,---,---,,---,---,18வது அட்சக்கோடு,,,,,,சுந்தர நிலையம்,,சென்னை,Chennai,1986,இரண்டாம் பதிப்பு,Second edition,Book ,நூல் ,,தமிழ்,tam
அசோகமித்திரன் ,Acōkamittiran̲,ஜ. தியாகராஜன்,---,---,,---,---,விடுதலை,,,,,,நர்மதா பதிப்பகம்,,சென்னை,Chennai,1987,இரண்டாம் பதிப்பு,Second edition,Book ,நூல் ,,தமிழ்,tam
