pid,local_id,parent,mods_genre_ms,Title
harleyspiller:2203,1-1-1,info:fedora/harleyspiller:collection,menus,[Businessmans lunch and various menus]
harleyspiller:9928,1-1-1,info:fedora/harleyspiller:collection,menus,[Businessmans lunch and various menus]
harleyspiller:2216,1-1-2,info:fedora/harleyspiller:collection,menus,Hong Kong Restaurant
harleyspiller:9916,1-1-2,info:fedora/harleyspiller:collection,menus,Hong Kong Restaurant
harleyspiller:2221,1-1-3,info:fedora/harleyspiller:collection,menus,Dragon Pearl Chinese Restaurant Limited
harleyspiller:9921,1-1-3,info:fedora/harleyspiller:collection,menus,Dragon Pearl Chinese Restaurant Limited
harleyspiller:2228,1-1-4,info:fedora/harleyspiller:collection,menus,Five Star Chinese Restaurant
harleyspiller:9941,1-1-4,info:fedora/harleyspiller:collection,menus,Five Star Chinese Restaurant
harleyspiller:2230,1-1-5,info:fedora/harleyspiller:collection,menus,Kowloon Garden Chinese Restaurant
harleyspiller:9943,1-1-5,info:fedora/harleyspiller:collection,menus,Kowloon Garden Chinese Restaurant
harleyspiller:2186,1-1-6,info:fedora/harleyspiller:collection,menus,Panda Chinese Restaurant
harleyspiller:9945,1-1-6,info:fedora/harleyspiller:collection,menus,Panda Chinese Restaurant
harleyspiller:2195,1-1-7,info:fedora/harleyspiller:collection,menus,Hotel Boulevard Nairobi Kenya Restaurant
harleyspiller:9954,1-1-7,info:fedora/harleyspiller:collection,menus,Hotel Boulevard Nairobi Kenya Restaurant
harleyspiller:3369,1-14-1,info:fedora/harleyspiller:collection,menus,Eastern Chinese Restaurant
harleyspiller:849,1-14-1,info:fedora/harleyspiller:collection,menus,Eastern Chinese Restaurant
harleyspiller:2235,1-2-1,info:fedora/harleyspiller:collection,menus,Bistrot La Saveur
harleyspiller:9980,1-2-1,info:fedora/harleyspiller:collection,menus,Bistrot La Saveur
harleyspiller:2232,1-2-2,info:fedora/harleyspiller:collection,menus,China Quick
harleyspiller:9962,1-2-2,info:fedora/harleyspiller:collection,menus,China Quick
harleyspiller:2250,1-2-3,info:fedora/harleyspiller:collection,menus,Le Dragon D'or Restaurant Asiatique
harleyspiller:9965,1-2-3,info:fedora/harleyspiller:collection,menus,Le Dragon D'or Restaurant Asiatique
harleyspiller:2238,1-2-4,info:fedora/harleyspiller:collection,menus,Marrakech
harleyspiller:9968,1-2-4,info:fedora/harleyspiller:collection,menus,Marrakech
harleyspiller:4762,10-2-29,info:fedora/harleyspiller:collection,menus,Golden Chef Restaurant
harleyspiller:4798,10-2-29,info:fedora/harleyspiller:collection,menus,Golden Chef Restaurant
harleyspiller:20139,12-2-15,info:fedora/harleyspiller:MetadataReview8,menus,Plum Blossom
harleyspiller:20125,12-2-15,info:fedora/harleyspiller:MetadataReview8,menus,Plum Blossom
harleyspiller:29545,16-13-1,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49151,16-13-1,info:fedora/harleyspiller:MetadataReview11,menus,Canton Cafe
harleyspiller:29536,16-13-10,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49136,16-13-10,info:fedora/harleyspiller:MetadataReview11,menus,Jade Palace
harleyspiller:29548,16-13-11,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49148,16-13-11,info:fedora/harleyspiller:MetadataReview11,menus,Lakeside Palace
harleyspiller:29557,16-13-12,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49122,16-13-12,info:fedora/harleyspiller:MetadataReview11,menus,Ming Garden
harleyspiller:29570,16-13-13,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49134,16-13-13,info:fedora/harleyspiller:MetadataReview11,menus,Ming Garden
harleyspiller:29560,16-13-14,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49124,16-13-14,info:fedora/harleyspiller:MetadataReview11,menus,Sea Dragon
harleyspiller:29555,16-13-15,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49120,16-13-15,info:fedora/harleyspiller:MetadataReview11,menus,Wonder Wok
harleyspiller:29558,16-13-2,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49118,16-13-2,info:fedora/harleyspiller:MetadataReview11,menus,Canton (New Canton) Seafood Vegetarian
harleyspiller:29567,16-13-3,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49127,16-13-3,info:fedora/harleyspiller:MetadataReview11,menus,China City
harleyspiller:29563,16-13-4,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49130,16-13-4,info:fedora/harleyspiller:MetadataReview11,menus,First Choice
harleyspiller:29554,16-13-5,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49123,16-13-5,info:fedora/harleyspiller:MetadataReview11,menus,Ginkgo
harleyspiller:29551,16-13-6,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49145,16-13-6,info:fedora/harleyspiller:MetadataReview11,menus,Ginkgo
harleyspiller:29542,16-13-7,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49139,16-13-7,info:fedora/harleyspiller:MetadataReview11,menus,Golden Key
harleyspiller:29539,16-13-8,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49142,16-13-8,info:fedora/harleyspiller:MetadataReview11,menus,Golden Phoenix
harleyspiller:29550,16-13-9,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49150,16-13-9,info:fedora/harleyspiller:MetadataReview11,menus,Hong Kong Kitchen
harleyspiller:29510,16-14-1,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49168,16-14-1,info:fedora/harleyspiller:MetadataReview11,menus,Casa China
harleyspiller:29512,16-14-2,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49182,16-14-2,info:fedora/harleyspiller:MetadataReview11,menus,Ciprianny
harleyspiller:29516,16-14-3,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49176,16-14-3,info:fedora/harleyspiller:MetadataReview11,menus,Ciudad Exquisita
harleyspiller:29519,16-14-4,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49173,16-14-4,info:fedora/harleyspiller:MetadataReview11,menus,Dragón Porteño
harleyspiller:29513,16-14-5,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49179,16-14-5,info:fedora/harleyspiller:MetadataReview11,menus,"Gran Muralla, La"
harleyspiller:29507,16-14-6,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49170,16-14-6,info:fedora/harleyspiller:MetadataReview11,menus,Yue Yi
