local ID,Correct Document ID,person_name,Update_Person_Note_1,role,Update Role to ,Source Data from https://docs.google.com/spreadsheets/d/1FOGLzWUCnqeR9FoqH_sUAKdSa6-gG1Rc5ncKtoT5p4k/edit#gid=684112097,related_people_original
0.0,Carte_Turche_01,İskenderiye Mukataa müfettişi,delete,Addressee,,,
2.0,Carte_Turche_01,Porte,delete,Sender,,,
1.0,Carte_Turche_01,Ülgün kadısı,delete,Addressee,,,
4.0,Carte_Turche_03,Corci (Georgy-Uskok corsair),,Mentioned,,,
3.0,Carte_Turche_03,Karlıili Sancakbeyi,delete,Addressee,,,
5.0,Carte_Turche_05,Sayid Muhammed Ağa,,undetermined,,,
6.0,Carte_Turche_06,Haleb canibi deftardarı,delete,Addressee,,,
7.0,Carte_Turche_06,Mustafa Reis,,undetermined,,,
8.0,Carte_Turche_07,Mehmed Çavuş,Mehmed - Çavuş,undetermined,,,
15.0,Carte_Turche_09,Corci Mo(u)mlo,,Mentioned,,,
12.0,Carte_Turche_09,Leo Nebabolo,"Nebabolo, Leo",undetermined,,,
14.0,Carte_Turche_09,Mihal Kardarda,,undetermined,,,
13.0,Carte_Turche_09,Nikolo Kavarvan,,Mentioned,,,
11.0,Carte_Turche_09,Paulo İspalob(ab)da,,undetermined,,,
9.0,Carte_Turche_09,Ranubiyu Kavaya,,undetermined,,,
10.0,Carte_Turche_09,Yanni İstati Le(v)Kosti,,Mentioned,,,
17.0,Carte_Turche_10,Mehmed Halife,,undetermined,,,
16.0,Carte_Turche_10,Memleket-i mahrusamda Venedik bezirganlarının sakin olduğu yerlerin Kadılarına,delete,Addressee,,,
19.0,Carte_Turche_100,Otoviyan Bon (Bailo),"Bon, Ottaviano",undetermined,,,
18.0,Carte_Turche_100,Vezir-i Azam Mehmed Paşa,Mehmed Paşa - Vezir-i Azam,Sender,,,
20.0,Carte_Turche_101,Otoviyan Bon,"Bon, Ottaviano",undetermined,,,
22.0,Carte_Turche_102,Mustafa Çavuş,Mustafa - Çavuş,undetermined,,,
21.0,Carte_Turche_102,Nova Kadısı,delete,Addressee,,,
24.0,Carte_Turche_103,Haleb beylerbeyi,delete,Addressee,,,
23.0,Carte_Turche_103,Haleb kadısı,delete,Addressee,,,
28.0,Carte_Turche_103,Hüseyin,,undetermined,,,
26.0,Carte_Turche_103,Mehmed oğlu Osman,,Mentioned,,,
25.0,Carte_Turche_103,Osman oğlu Mustafa,,undetermined,,,
27.0,Carte_Turche_103,Yusuf,,undetermined,,,
29.0,Carte_Turche_104,Haleb defterdarı,delete,Addressee,,,
31.0,Carte_Turche_107,Beyleri,delete,Addressee,,,
34.0,Carte_Turche_107,Cevan Kosto,,Mentioned,,,
35.0,Carte_Turche_107,Dolor Viz,,undetermined,,,
32.0,Carte_Turche_107,Kadıları,delete,Addressee,,,
33.0,Carte_Turche_107,Mehmed,,undetermined,,,
30.0,Carte_Turche_107,Trablusşam Beylerbeyi,delete,Addressee,,,
36.0,Carte_Turche_107,Veziriazam Mehmed Paşa,Mehmet Paşa - Vezir-i Azam,undetermined,,,
38.0,Carte_Turche_11,Ankara kadısı,delete,Addressee,,,
37.0,Carte_Turche_11,Ankara mukataat müfettişi,delete,Addressee,,,
39.0,Carte_Turche_112,Mora Kadısı,delete,Addressee,,,
43.0,Carte_Turche_113,Cezairli Memi,,undetermined,,,
42.0,Carte_Turche_113,Kurd Reis,delete,undetermined,,,
40.0,Carte_Turche_113,Manavzade Mehmed Reis,,undetermined,,,
44.0,Carte_Turche_113,Odabaşı Perviz,Perviz - Odabaşı,Mentioned,,,
41.0,Carte_Turche_113,Peltek Mehmed Reis,,Mentioned,,,
45.0,Carte_Turche_113,Topçubaşı Vezim oğlu,,undetermined,,,
46.0,Carte_Turche_115,Dolfin Venier,,undetermined,,,
